run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;3171937665;3653244737;117480999;18462930;1,00;377,20;1397,40;1,00;1,80;97,20;0,00
2;3085468234;3456637114;115945424;18068946;1,00;359,20;1039,20;0,80;2,00;97,00;0,00
3;3253255452;3654051654;120130675;17603930;1,00;373,60;1070,20;1,20;1,80;96,80;0,00
4;3329947232;3762050039;122151470;17895399;2,40;381,00;1224,40;0,80;2,00;96,80;0,00
5;3260563603;3687610319;120750310;18361405;1,00;394,00;1292,40;1,20;2,20;96,60;0,00
6;3021218174;3383674583;111908105;16764935;1,60;398,00;1205,60;1,00;2,40;96,40;0,00
7;3399334217;3848401702;125583850;18501262;1,00;396,80;1319,00;1,20;2,20;96,60;0,00
8;3150838442;3520455254;116644234;17534997;1,00;403,60;1216,60;0,80;2,20;96,80;0,00
9;3301118439;3735332962;120268944;17665325;1,40;380,20;1199,60;1,00;2,20;96,40;0,00
10;2512194991;2804637201;94008654;13655418;2,00;354,20;1286,40;1,00;1,80;97,00;0,00
11;3383478467;3805072946;125506216;18267739;1,20;406,00;1223,00;1,00;2,20;96,60;0,00
12;3569396845;3987280995;132887553;19686156;1,00;388,60;1150,60;0,80;1,80;97,00;0,00
13;3214376901;3623067507;117150032;17197564;1,20;392,00;1179,00;1,00;2,20;96,40;0,00
14;3237850005;3670910889;120591396;17782418;1,20;416,60;1253,40;1,00;2,00;96,80;0,00
15;3053609649;3507122650;115527627;17368549;1,00;379,80;1116,00;1,00;2,00;96,60;0,00
16;2966716830;3416414870;113672435;16623639;1,60;1549,20;1084,60;0,80;2,00;96,60;0,00
17;3305676099;3754570713;124800998;18234466;1,20;1547,20;1043,00;1,00;2,00;96,80;0,00
18;3454155476;3897121977;129965999;18957407;1,20;1624,00;1282,00;1,40;2,00;96,60;0,00
19;3500110809;3994653135;132432337;19359691;1,20;457,00;1305,00;1,20;2,00;96,60;0,00
20;3366740613;3798275797;126791279;18637747;1,00;415,40;1348,60;1,00;2,20;96,60;0,00
