run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;11,3;11,3;44;44;0,08394;0,00268097
2;11,4;11,4;44,5;44,5;0,08264;0,00293951
3;11,3;11,3;44,3;44,3;0,0832;0,00273108
4;11,3;11,3;44,3;44,3;0,08343;0,0026421
5;11,4;11,4;44,6;44,6;0,08262;0,00266136
6;11,3;11,3;44;44;0,08406;0,0026226
7;11,1;11,1;43,2;43,2;0,08472;0,00276568
8;11,3;11,3;44,1;44,1;0,08392;0,00267812
9;11,2;11,2;43,7;43,7;0,08423;0,00291244
10;11,6;11,6;45,1;45,1;0,08181;0,00262454
11;11,6;11,6;45,5;45,5;0,08105;0,00264432
12;11,3;11,3;44,1;44,1;0,08377;0,00272437
13;11,3;11,3;44,2;44,2;0,08344;0,00266327
14;10,7;10,7;41,7;41,7;0,0887;0,00269792
15;11,1;11,1;43,4;43,4;0,08453;0,00272863
16;11,1;11,1;43,2;43,2;0,08565;0,00270301
17;11,5;11,5;44,8;44,8;0,08241;0,00257168
18;11,5;11,5;44,9;44,9;0,08206;0,00263491
19;11;11;43,1;43,1;0,08557;0,00279631
20;11,4;11,4;44,4;44,4;0,08301;0,00276429
