run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0083;0.04;0.06;0.81;0;14944336;17688;599908;0;0;1314;14590
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14774912;18308;768064;0;0;1309;14436
3;0,000016;1;1024KiB;128MiB;128;0.0067;0.04;0.05;0.44;0;14732536;18404;788980;0;0;1346;14381
4;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.06;0;14819888;18556;823700;0;0;1248;14448
5;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.08;0;14774856;19172;846708;0;0;1248;14427
6;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14675308;19292;877636;0;0;1306;14343
7;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.06;0;14675500;19412;901992;0;0;1298;14329
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;14557040;19776;975364;0;0;1354;14204
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14493428;19880;983564;0;0;1398;14154
10;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14505048;20028;995348;0;0;1371;14172
