Method,Name,Error,Occurrences
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),19
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),20
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),17
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),22
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),20
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),18
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),26
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),19
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),14
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),470
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),23
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),24
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),17
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),16
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),1499
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),19
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),16
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),14
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),13
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),18
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),6
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),15
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),17
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),15
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),6
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),21
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),14
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),25
GET,/Categorias,RemoteDisconnected('Remote end closed connection without response'),1921
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),17
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),18
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 5'),15
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 5'),16
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 1'),13
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 12'),13
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 9'),21
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 1'),25
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 8'),29
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 4'),18
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 11'),15
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 2'),18
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 7'),20
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 3'),21
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 5'),25
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 13'),15
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 6'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 11'),21
GET,/Productos,RemoteDisconnected('Remote end closed connection without response'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 11'),16
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 13'),25
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 4'),14
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 2'),16
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 5'),16
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 8'),20
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 1'),20
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 5'),19
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 8'),12
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 4'),19
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 11'),10
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 3'),25
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 7'),13
