Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755016863,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755016864,10,,Aggregated,0.000000,0.000000,10,13,20,23,32,34,36,36,36,36,36,79,10,10,14.286431637180003,5.319400224834681,36.44290007650852,198.9367088607595
1755016865,20,,Aggregated,0.000000,0.000000,11,14,20,21,25,32,34,36,36,36,36,160,10,11,13.821198744699359,5.319400224834681,36.44290007650852,225.48125
1755016866,30,,Aggregated,0.000000,0.000000,9,12,15,19,22,27,32,35,36,36,36,239,10,9,12.364388291556466,3.8123000413179398,36.44290007650852,237.7866108786611
1755016867,40,,Aggregated,79.000000,10.000000,9,11,13,16,21,25,32,34,36,36,36,325,10,9,11.559209852264477,3.8123000413179398,36.44290007650852,240.07076923076923
1755016868,50,,Aggregated,80.000000,5.000000,9,10,12,15,21,23,32,34,36,36,36,396,11,9,11.318638141154114,3.8123000413179398,36.44290007650852,242.3661616161616
1755016869,60,,Aggregated,79.666667,3.333333,9,10,12,15,21,26,35,36,39,39,39,540,11,9,11.51423148845357,3.8123000413179398,39.00100011378527,240.07037037037037
1755016870,70,,Aggregated,81.250000,2.500000,9,10,11,13,20,23,32,36,39,39,39,682,11,9,10.968364372336008,3.8123000413179398,39.00100011378527,242.54545454545453
1755016871,80,,Aggregated,79.200000,2.200000,9,10,11,13,19,22,32,35,39,39,39,829,14,9,10.703264656437357,1.85779994353652,39.00100011378527,252.44511459589867
1755016872,100,,Aggregated,90.000000,1.833333,9,10,11,13,19,21,29,35,39,39,39,972,16,9,10.634226646416135,1.85779994353652,39.00100011378527,250.65226337448559
1755016873,110,,Aggregated,97.428571,1.571429,9,10,11,13,19,21,28,34,38,39,39,1127,18,9,10.635857586025821,1.85779994353652,39.00100011378527,253.08163265306123
1755016874,120,,Aggregated,103.625000,1.750000,9,11,12,13,18,21,26,32,38,39,39,1355,19,9,10.683666123936428,1.85779994353652,39.00100011378527,252.5158671586716
1755016875,130,,Aggregated,108.000000,1.777778,10,12,14,16,21,33,51,61,120,130,130,1567,21,10,13.096163495982823,0.8237999863922596,127.23059998825192,254.61391193363113
1755016876,140,,Aggregated,112.700000,1.800000,10,12,14,16,21,30,48,60,120,130,130,1772,23,10,12.995009536016102,0.8237999863922596,127.23059998825192,254.07787810383746
1755016877,150,,Aggregated,127.600000,0.900000,10,13,15,17,21,28,44,59,120,130,130,1999,25,10,13.201847822713354,0.8237999863922596,127.23059998825192,257.86743371685844
1755016878,160,,Aggregated,140.700000,1.100000,10,13,15,17,21,28,43,57,110,130,130,2231,31,10,13.26813706702372,0.5994997918605804,127.23059998825192,257.9394890183774
1755016879,170,,Aggregated,153.300000,1.300000,11,13,15,17,21,27,40,55,110,130,130,2519,32,11,13.177316830504232,0.5438998341560364,127.23059998825192,257.658197697499
1755016880,180,,Aggregated,167.400000,1.500000,11,13,15,17,21,28,40,55,110,130,130,2826,40,11,13.355620309047438,0.5438998341560364,127.23059998825192,258.6613588110403
1755016881,190,,Aggregated,183.500000,2.000000,11,13,16,17,22,28,39,53,110,130,130,3143,42,11,13.508305532281144,0.5438998341560364,127.23059998825192,260.1549475023863
1755016882,200,,Aggregated,197.900000,2.100000,11,13,16,17,22,27,38,51,110,130,130,3446,44,11,13.408976114877714,0.5232002586126328,127.23059998825192,259.63493905977947
