run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;41549077655;41198253716;1348080572;243148867;2.20;7536.60;112676.40;11.60;19.60;68.20;0.00;.30;68.94;1.88;2.12;2.21;2.20;1.00
2;39107073569;40099561319;1238697371;219630479;2.80;7273.60;100972.20;9.80;19.60;70.40;0.00;.23;70.53;2.04;2.13;2.21;2.80;1.20
3;40129908999;40360480061;1289813699;226702321;3.80;7720.40;114594.40;10.60;19.60;69.60;0.00;.34;68.42;2.01;2.13;2.20;3.80;1.00
4;41089640705;41112133419;1320886031;236853813;2.80;7791.80;116595.80;11.60;19.40;69.00;0.00;.34;67.05;2.36;2.20;2.22;2.80;1.00
5;42078045428;41605619382;1385191804;244649030;2.60;7590.80;106607.20;10.80;19.40;69.40;0.00;.27;69.45;1.70;2.03;2.16;2.60;1.40
6;40991457215;41109062649;1342854151;236801024;2.80;6918.40;92991.00;9.40;19.80;70.60;0.00;.33;67.37;1.93;2.01;2.14;2.80;1.00
7;40800358572;40851848417;1319710763;234999524;2.20;7734.80;114053.80;10.60;19.80;69.60;0.00;.31;68.76;1.83;1.98;2.12;2.20;1.20
8;40892476303;40837951815;1344633995;234513504;5.00;8249.80;128244.60;12.20;20.00;67.20;0.00;.26;67.67;2.32;2.10;2.15;5.00;1.00
9;40451581726;41058964163;1303204712;232989389;3.60;7069.20;99193.40;9.80;20.00;70.20;0.00;.30;69.94;2.40;2.14;2.16;3.60;1.00
10;40107813956;40718643156;1270495877;233090320;3.60;6648.80;93285.80;9.80;19.00;71.20;0.00;.20;67.90;2.08;2.11;2.15;3.60;1.00
