run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13213028;65768;1784676;0;0;2164;12902
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13204608;65888;1786196;0;0;2171;12895
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13187700;65984;1787712;0;0;2186;12878
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13167260;66080;1789252;0;0;2205;12857
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13156724;66176;1790736;0;0;2212;12848
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13133920;66356;1792192;0;0;2221;12838
7;0,000016;1;1024KiB;128MiB;128;0.0072;0.04;0.04;0.07;0;13133972;66452;1793664;0;0;2232;12825
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13132452;66548;1795228;0;0;2232;12824
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13076032;66668;1796988;0;0;2285;12769
10;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.08;0;13098828;66808;1798688;0;0;2262;12791
