run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.7;8;12,50;12,88;12,75;11,38;15,75;enp0s31f6;1835;1807
2;110;92.3;8;10,00;14,50;14,75;14,00;16,25;enp0s31f6;1605;1605
3;110;91.9;8;8,75;14,88;16,12;14,00;25,50;enp0s31f6;1722;1719
4;109;91.3;8;10,00;14,75;14,75;14,00;16,38;enp0s31f6;773;771
5;109;91.3;8;10,00;14,62;14,88;14,00;17,00;enp0s31f6;988;976
6;107;90.0;8;7,50;14,50;15,12;14,00;18,38;enp0s31f6;1604;1648
7;109;91.2;8;10,00;14,88;14,62;14,00;16,38;enp0s31f6;1046;1034
8;108;91.0;8;3,75;14,88;15,00;14,00;17,75;enp0s31f6;1080;1086
9;109;91.4;8;6,25;15,38;15,38;14,00;17,50;enp0s31f6;1595;1606
10;97.4;81.7;8;6,25;14,38;14,38;14,00;14,75;enp0s31f6;0;0
