run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;107;90.1;8;12,50;12,00;11,88;11,25;13,00;enp0s31f6;971;947
2;104;87.4;8;11,25;14,50;14,62;13,38;16,00;enp0s31f6;1881;1939
3;98.2;82.4;8;10,00;15,38;14,88;14,00;16,75;enp0s31f6;2158;2156
4;103;86.4;8;10,00;14,25;14,75;13,50;18,25;enp0s31f6;1567;1600
5;88.0;73.8;8;10,00;14,62;15,62;14,12;22,00;enp0s31f6;1013;966
6;106;88.5;8;10,00;14,50;14,62;13,75;16,50;enp0s31f6;1591;1563
7;105;88.3;8;10,00;16,50;14,88;14,00;19,12;enp0s31f6;3994;4023
8;109;91.6;8;11,25;17,38;25,75;13,75;101,62;enp0s31f6;2280;2161
9;108;90.7;8;10,00;15,38;14,88;14,00;16,12;enp0s31f6;963;957
10;106;89.1;8;11,25;14,62;14,62;14,00;16,75;enp0s31f6;0;0
