run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;29939660091;20306653122;2525695838;363242217;5.80;4771.00;31530.00;37.60;12.20;49.40;0.00;.63;42.44;3.83;6.00;6.45;5.80;2.40
2;31946890806;26184483597;2592376245;378061092;8.80;4749.00;33095.00;40.80;12.60;45.60;0.00;.70;44.93;5.17;6.06;6.44;8.80;3.00
3;32974212702;29994153116;2514731149;390116465;2.80;5251.40;39195.20;44.40;12.40;42.60;0.00;.75;47.95;7.41;6.79;6.68;2.80;2.20
4;38155642603;41002724309;2688312481;420744450;16.00;7550.60;48658.60;53.60;14.60;31.40;0.00;.62;42.72;9.57;7.51;6.93;16.00;13.40
5;39410947789;44568261450;2700719989;431303438;6.60;4728.80;35617.20;45.60;10.80;43.00;0.00;.73;40.99;9.26;8.01;7.16;6.60;2.20
6;41036306495;52511847786;2635455621;443194865;12.40;4696.00;34738.60;43.80;10.60;45.20;0.00;.56;43.75;5.19;6.91;6.85;12.40;5.40
7;42156199835;54508745176;2617354334;445589311;4.20;5419.40;47507.80;45.00;11.00;43.40;0.00;.49;40.98;8.88;7.71;7.13;4.20;4.20
8;43904118233;60143396856;2657759481;452857326;7.40;4487.60;35728.00;42.80;9.60;46.60;0.00;.63;43.93;4.82;6.79;6.87;7.40;3.40
9;43334449896;64075684403;2490794677;437497553;9.40;4510.20;36263.80;45.80;9.60;43.80;0.00;.60;42.37;6.51;6.84;6.88;9.40;4.60
10;46722497682;71496293730;2579744132;471330199;9.80;4505.40;36316.80;46.40;9.40;43.60;0.00;.73;46.86;8.45;7.16;6.97;9.80;6.20
