run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;11.4;11.4;44.6;44.6;0.08213;0.00320022
2;10.5;10.5;41.0;41.0;0.08653;0.00364506
3;11.3;11.3;44.0;44.0;0.08299;0.00331083
4;10.6;10.6;41.6;41.6;0.08474;0.00397414
5;10.9;10.9;42.5;42.5;0.08527;0.00404891
6;10.4;10.4;40.5;40.5;0.08781;0.00516576
7;11.4;11.4;44.5;44.5;0.08241;0.00307605
8;11.6;11.6;45.2;45.2;0.08144;0.002805
9;11.3;11.3;44.2;44.2;0.0826;0.00329868
10;10.1;10.1;39.6;39.6;0.08869;0.00445989
11;10.3;10.3;40.1;40.1;0.0898;0.00436763
12;10.4;10.4;40.7;40.7;0.08814;0.00458352
13;10.9;10.9;42.4;42.4;0.08552;0.00362717
14;10.6;10.6;41.5;41.5;0.08667;0.00437094
15;10.6;10.6;41.4;41.4;0.08762;0.00363772
16;10.6;10.6;41.3;41.3;0.08818;0.00350828
17;10.4;10.4;40.5;40.5;0.08912;0.00430012
18;10.5;10.5;40.9;40.9;0.08776;0.00446268
19;10.3;10.3;40.1;40.1;0.089;0.00418493
20;10.4;10.4;40.7;40.7;0.08827;0.00435099
