run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93.9;8;13,75;16,75;15,88;13,88;17,50;enp0s31f6;48;45
2;111;93.0;8;13,75;16,38;15,62;14,38;17,88;enp0s31f6;53;50
3;113;94.7;8;12,50;15,00;15,38;13,50;17,12;enp0s31f6;68;65
4;112;93.6;8;13,75;296,12;268,25;107,62;321,25;enp0s31f6;43;41
5;113;94.5;8;15,00;15,12;14,88;13,38;16,00;enp0s31f6;50;47
6;101;84.9;8;13,75;13,88;14,12;13,12;16,12;enp0s31f6;15;6
7;111;93.3;8;17,50;14,75;15,38;14,12;18,62;enp0s31f6;16;16
8;112;93.8;8;8,75;14,88;16,00;14,12;21,25;enp0s31f6;15;14
9;111;93.3;8;12,50;15,00;15,12;14,38;17,00;enp0s31f6;46;43
10;111;93.4;8;18,75;16,12;15,25;14,38;18,00;enp0s31f6;57;53
11;113;94.9;8;13,75;14,62;15,38;14,25;18,00;enp0s31f6;77;72
12;113;94.8;8;7,50;15,38;15,88;14,25;19,50;enp0s31f6;85;80
13;113;94.7;8;8,75;15,12;15,12;14,00;18,00;enp0s31f6;96;90
14;111;93.0;8;11,25;15,12;15,00;14,25;17,25;enp0s31f6;56;53
15;111;93.0;8;11,25;16,88;16,88;14,12;21,12;enp0s31f6;46;43
16;111;93.0;8;11,25;17,88;15,50;14,00;18,50;enp0s31f6;62;59
17;112;93.7;8;13,75;15,25;15,12;14,12;18,50;enp0s31f6;88;83
18;111;93.0;8;13,75;14,75;15,50;14,50;18,75;enp0s31f6;52;44
19;110;92.4;8;15,00;15,50;15,50;14,25;17,75;enp0s31f6;76;71
20;90.6;76.0;8;7,50;15,12;15,38;14,12;18,00;enp0s31f6;46;50
