run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,04;0;14426696;36084;702408;0;0
2;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14471940;36288;704024;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14407420;36376;705460;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14383632;36464;706908;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14479044;36600;708464;0;0
6;0,000016;1;1024KiB;128MiB;128;0,006;0,04;0,05;0,24;0;14440132;36736;709924;0;0
7;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14454424;36816;711536;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0059;0,04;0,04;0,07;0;14438420;36896;712876;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14410056;36976;714288;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14400904;37064;715768;0;0
11;0,000016;1;1024KiB;128MiB;128;0,006;0,04;0,05;0,08;0;14441160;37200;717388;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14469512;37308;718476;0;0
13;0,000016;1;1024KiB;128MiB;128;0,006;0,04;0,05;0,08;0;14407928;37396;720100;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14395904;37480;721416;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14383964;37560;722724;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14430140;37640;724008;0;0
17;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14414528;37772;725824;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;14417356;37876;727256;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,08;0;14420060;37956;728976;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14457388;38092;731528;0;0
