run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;42341481333;55968447144;1461157920;315303853;7,40;3351,20;24031,60;12,20;18,60;69,00;0,00
2;53651392557;78211103345;1707569222;396772601;2,20;2260,80;11896,40;10,00;17,40;72,60;0,00
3;49638937674;71736908662;1568301687;363907346;24,20;2423,40;13490,00;12,00;18,20;69,60;0,00
4;51551751189;74244378141;1670783982;378643211;3,40;2486,40;9418,60;17,80;21,00;61,20;0,00
5;50561027236;74196945153;1574198413;364964896;3,00;2449,20;9730,80;16,00;19,60;64,20;0,00
6;50077251892;73534984445;1561566656;352533567;29,80;2471,00;11168,80;15,00;19,40;65,60;0,00
7;42689903938;61097256332;1318364261;295167522;5,40;2541,40;9739,20;16,60;20,60;62,60;0,00
8;42394252177;60194032903;1327154479;300405077;6,40;2617,40;10628,20;17,60;20,40;61,60;0,00
9;50202338193;74128919728;1549193027;351948169;2,40;2413,80;9370,80;15,60;19,80;64,00;0,00
10;43079532808;60193296053;1398879491;312368851;21,60;2552,40;12107,40;16,80;20,00;63,00;0,00
11;43497729981;61828247384;1384853600;310915147;8,60;2341,20;11015,20;9,40;17,60;72,80;0,00
12;54262171101;80144422049;1714627798;389346057;19,00;2486,20;9320,40;16,40;20,80;62,40;0,00
13;51427976714;74859797016;1628220171;373772040;2,80;2260,80;9107,60;11,60;18,00;70,40;0,00
14;50251797035;74058364886;1562255250;358609081;9,20;2443,00;9919,00;16,20;20,80;62,80;0,00
15;50905038212;74434821745;1617837485;365073631;22,20;2384,80;8974,40;16,00;20,60;63,40;0,00
16;51856599880;76439146034;1606502140;368923086;7,00;2420,40;9561,80;14,40;19,60;65,80;0,00
17;51309969545;74735034267;1653837133;370779544;8,40;2465,20;10375,20;16,40;20,20;63,20;0,00
18;49904561606;73285664697;1552606505;354209331;5,00;2450,60;9586,80;16,40;19,60;63,80;0,00
19;52606829218;79111566996;1588547528;364301641;2,60;2355,40;8795,40;14,20;19,40;66,00;0,00
20;52325493223;78523323894;1615024795;364162287;22,60;2405,60;9893,20;15,60;19,60;64,40;0,00
