Method,Name,Error,Occurrences
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),772
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),896
GET,/Productos,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",10
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),748
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),871
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),729
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),733
GET,/Categorias,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",59
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),722
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),701
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),836
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),661
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),43
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),657
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),763
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),1274
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),720
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),726
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),654
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),821
GET,/Productos,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),655
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),3620
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),711
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),803
GET,/Mesas,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",16
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),712
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),732
GET,/Pedidos/5925,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),740
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),81
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),901
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),683
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),822
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),720
GET,/Mesas,HTTPError('500 Server Error: Internal Server Error for url: /Mesas'),18
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),745
GET,/Pedidos/5925,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",49
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),647
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),657
GET,/Categorias,RemoteDisconnected('Remote end closed connection without response'),4931
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),737
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),657
GET,/Mesas,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",2
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 5'),752
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 8'),735
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 5'),672
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 5'),669
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 1'),653
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 12'),682
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 9'),696
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 10'),731
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 1'),845
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 2'),745
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 8'),684
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 4'),861
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 11'),631
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 2'),718
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 7'),640
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 3'),810
GET,/Productos,HTTPError('500 Server Error: Internal Server Error for url: /Productos'),57
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 5'),865
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 13'),696
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 6'),802
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 9'),786
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 4'),747
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 11'),691
GET,/Productos,RemoteDisconnected('Remote end closed connection without response'),10208
