run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;50952055389;73695341929;1648061121;371258743;7,40;2422,40;10991,40;13,20;19,40;66,60;0,00
2;50432398153;73327241072;1610160904;360960193;9,80;2547,00;11531,80;16,80;20,20;62,80;0,00
3;43427591407;60185334600;1442578333;314964653;6,40;2673,80;16689,20;9,60;17,40;72,40;0,00
4;46735391730;66399661345;1513308203;339092405;7,60;2468,60;11242,20;15,20;20,00;64,60;0,00
5;48256249613;70250243514;1509555017;341401182;9,40;2515,20;10347,80;14,80;20,60;64,40;0,00
6;46340583855;67226007393;1427735777;325679497;7,00;3777,40;10337,20;16,80;20,60;62,40;0,00
7;49263890352;72745674281;1529720402;344204887;10,60;3723,00;9719,40;18,20;21,20;60,40;0,00
8;46278009841;66520814642;1458281858;330499888;23,00;2490,80;9898,20;15,00;21,00;64,20;0,00
9;47504356180;68547555714;1478455430;343023363;18,40;2542,20;9806,00;16,20;20,20;63,00;0,00
10;57605984129;85845208056;1843849094;416348903;15,80;2521,60;10136,20;18,80;21,40;59,60;0,00
11;42772583912;61188626932;1343065359;298253362;2,00;2436,20;9350,40;14,40;19,20;66,00;0,00
12;50308940798;73182785143;1593317016;363941788;8,20;2628,00;12239,20;18,40;21,20;60,20;0,00
13;39570683274;54911385919;1259180808;283636136;5,00;2552,00;10768,60;17,00;20,00;62,80;0,00
14;50658936686;73599528676;1612728313;367815559;2,40;2524,40;12194,80;16,40;20,40;62,80;0,00
15;49358676721;71912968387;1537388891;352983611;10,60;2571,00;10665,20;17,60;21,60;60,60;0,00
16;53707061586;79055130839;1702572768;388069870;13,40;2635,20;11111,00;18,20;20,40;61,60;0,00
17;48670329586;71738220507;1495605578;340163014;10,60;2534,00;11414,20;16,00;20,60;62,80;0,00
18;52172376072;77757137012;1628743107;365726555;3,20;2538,80;9773,60;16,40;20,60;62,60;0,00
19;45948907142;67203678042;1410154695;319847005;10,00;2470,80;10429,20;12,40;19,60;67,20;0,00
20;45483416868;65256697956;1449871193;325386097;3,20;2421,20;10251,40;11,40;18,40;69,80;0,00
