run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;10,9;10,9;42,4;42,4;0,08644;0,00290721
2;11,4;11,4;44,6;44,6;0,0827;0,00271416
3;11,7;11,7;45,7;45,7;0,08076;0,00259817
4;11,2;11,2;43,9;43,9;0,08404;0,00263605
5;11;11;43,1;43,1;0,08451;0,00282907
6;11,3;11,3;44,3;44,3;0,08329;0,00260772
7;11,4;11,4;44,6;44,6;0,08265;0,00264023
8;11,3;11,3;44,3;44,3;0,08224;0,0026331
9;11,4;11,4;44,4;44,4;0,08321;0,00265661
10;11,5;11,5;44,8;44,8;0,08211;0,0028929
11;11,4;11,4;44,7;44,7;0,08275;0,00257595
12;10,9;10,9;42,7;42,7;0,08648;0,00273449
13;10,9;10,9;42,7;42,7;0,08578;0,00263705
14;11,8;11,8;46;46;0,08023;0,00255496
15;11,3;11,3;44,2;44,2;0,08351;0,00268328
16;11,9;11,9;46,4;46,4;0,0796;0,00255586
17;11,3;11,3;44,1;44,1;0,0839;0,00257777
18;11,4;11,4;44,5;44,5;0,08314;0,00262101
19;11,2;11,2;43,9;43,9;0,0835;0,00287221
20;11,2;11,2;43,8;43,8;0,08406;0,00284879
