Method,Name,Error,Occurrences
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),2
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),5
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),241
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),5
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),1
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),1
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),710
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),5
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),5
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),5
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),5
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),4
GET,/Categorias,RemoteDisconnected('Remote end closed connection without response'),905
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 5'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 5'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 1'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 12'),6
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 9'),5
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 8'),5
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 4'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 11'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 2'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 7'),7
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 3'),3
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 5'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 13'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 11'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 11'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 13'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 4'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 2'),5
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 5'),4
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 8'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 5'),5
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 8'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 4'),4
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 11'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 7'),3
