run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.0;8;7,50;16,62;15,38;14,62;19,88;enp0s31f6;399;338
2;111;93.5;8;6,25;15,25;15,50;14,12;18,62;enp0s31f6;380;303
3;112;94.3;8;3,75;15,00;15,12;14,50;16,50;enp0s31f6;411;318
4;112;93.7;8;6,25;15,62;15,25;14,62;17,62;enp0s31f6;324;243
5;112;93.9;8;7,50;15,25;15,38;14,38;18,62;enp0s31f6;401;331
6;112;94.1;8;2,50;15,50;15,62;14,75;20,12;enp0s31f6;464;346
7;112;94.3;8;3,75;15,12;15,12;14,75;18,12;enp0s31f6;483;316
8;112;93.7;8;6,25;14,75;15,12;14,38;16,25;enp0s31f6;421;320
9;112;94.4;8;3,75;15,00;15,12;14,62;16,75;enp0s31f6;475;409
10;112;93.8;8;6,25;14,88;14,88;14,12;16,25;enp0s31f6;453;355
