run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;32465114154;37658127905;1182803302;232251424;2.40;2096.00;18277.60;7.80;17.40;74.40;0.00;.50;62.48;0.48;1.04;0.84;2.40;1.40
2;37685149375;39031017361;1221826623;214402420;4.80;8365.80;132637.80;12.20;18.80;68.40;0.00;.43;69.05;1.43;1.25;0.93;4.80;1.00
3;39437026884;39729882139;1305568390;228352258;3.20;7816.60;121053.00;11.40;18.80;69.60;0.00;.50;69.67;2.83;1.64;1.09;3.20;1.00
4;36878323301;39132381771;1199769738;208997353;2.60;7055.40;102088.80;10.40;18.40;70.60;0.00;.30;67.40;2.69;1.79;1.18;2.60;1.00
5;43479385796;41824199471;1462685468;251143366;2.20;5668.00;62702.20;9.60;18.40;71.80;0.00;.33;68.96;2.54;1.90;1.25;2.20;1.00
6;41752904576;40863552939;1397984319;241047836;5.60;7634.60;111852.80;12.40;18.80;68.40;0.00;.43;69.37;2.28;1.93;1.30;5.60;1.20
7;38070762586;39300404126;1263825353;218886902;2.40;8284.20;123682.60;12.20;19.40;67.80;0.00;.46;68.55;1.61;1.81;1.30;2.40;1.00
8;40852300006;40610285991;1371776830;234013907;3.00;8126.00;128400.60;11.80;19.40;68.60;0.00;.44;66.86;1.80;1.82;1.33;3.00;1.00
9;42284856424;41296563870;1428535957;242459944;3.20;7222.80;97550.40;11.00;19.00;69.60;0.00;.40;67.48;2.07;1.88;1.39;3.20;1.40
10;43350918223;42436835265;1474076453;250084064;2.80;7004.60;93116.60;10.20;18.80;70.40;0.00;.36;67.25;1.92;1.90;1.43;2.80;1.00
