Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755362373,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755362374,10,,Aggregated,0.000000,0.000000,10,12,19,24,150,160,160,160,160,160,160,80,10,10,29.57543999873451,4.508800018811598,159.01259999372996,258.8875
1755362375,30,,Aggregated,0.000000,0.000000,9,10,12,16,24,150,160,160,160,160,160,154,10,9,19.983424675082425,4.275700019206852,159.01259999372996,248.28571428571428
1755362376,40,,Aggregated,0.000000,0.000000,9,10,11,13,21,29,160,160,160,160,160,230,10,9,16.673991739441156,3.959900001063943,159.01259999372996,254.88260869565218
1755362377,50,,Aggregated,80.000000,10.000000,9,10,11,12,19,24,160,160,160,160,160,311,10,9,14.575420257633917,3.9200000173877925,159.01259999372996,256.81993569131834
1755362378,60,,Aggregated,77.000000,5.000000,9,10,11,12,19,23,150,160,160,160,160,380,11,9,13.702515000554023,3.882999997586012,159.01259999372996,256.7842105263158
1755362379,70,,Aggregated,76.666667,3.333333,9,10,10,11,17,21,30,160,160,160,160,541,11,9,12.236573567804184,3.4196000196971,159.01259999372996,258.1256931608133
1755362380,80,,Aggregated,77.750000,2.500000,9,10,12,13,18,20,29,160,160,160,160,691,13,9,12.231540232313886,0.9074999834410846,159.01259999372996,257.6671490593343
1755362381,90,,Aggregated,76.000000,2.200000,9,11,12,13,17,20,25,150,160,160,160,844,17,9,12.075201422548512,0.5850000015925616,159.01259999372996,257.7405213270142
1755362382,100,,Aggregated,90.166667,1.833333,9,11,12,14,17,20,24,150,160,160,160,989,18,9,12.000987867214288,0.41310000233352184,159.01259999372996,252.65419615773507
1755362383,110,,Aggregated,98.714286,1.857143,10,11,13,14,18,20,25,31,160,160,160,1143,21,10,12.093236658490758,0.41310000233352184,159.01259999372996,257.0209973753281
1755362384,120,,Aggregated,109.888889,2.000000,9,11,12,13,17,20,24,30,160,160,160,1380,25,9,11.547691884671634,0.41310000233352184,159.01259999372996,259.0036231884058
1755362385,130,,Aggregated,109.888889,2.000000,10,11,13,14,17,20,23,26,160,160,160,1609,29,10,11.582983219857901,0.41310000233352184,159.01259999372996,257.42262274704785
1755362386,140,,Aggregated,114.300000,2.100000,10,11,13,14,17,20,23,26,160,160,160,1829,31,10,11.402529306005674,0.3974999999627471,159.01259999372996,257.1705850191361
1755362387,150,,Aggregated,129.900000,1.500000,10,11,13,14,17,20,23,26,160,160,160,2070,35,10,11.39232830947562,0.3974999999627471,159.01259999372996,264.87874396135265
1755362388,160,,Aggregated,145.500000,1.900000,10,11,13,14,17,19,22,26,160,160,160,2281,36,10,11.297783647607343,0.3974999999627471,159.01259999372996,265.25383603682593
1755362389,170,,Aggregated,175.900000,2.500000,10,11,12,14,17,19,21,25,160,160,160,2586,38,10,11.11191183309541,0.3974999999627471,159.01259999372996,268.8948182521268
1755362390,180,,Aggregated,175.900000,2.500000,10,11,13,14,17,19,22,25,160,160,160,2883,40,10,11.190793964838766,0.3974999999627471,159.01259999372996,269.4769337495664
1755362391,190,,Aggregated,200.500000,2.700000,10,12,13,14,17,20,22,25,160,160,160,3205,41,10,11.331748081314524,0.3974999999627471,159.01259999372996,270.60468018720746
1755362392,200,,Aggregated,219.200000,2.700000,10,12,13,14,17,19,22,25,160,160,160,3515,43,10,11.25018014239709,0.3974999999627471,159.01259999372996,271.6460881934566
1755362393,210,,Aggregated,235.900000,2.400000,10,12,13,14,17,20,23,26,160,160,160,3828,45,10,11.357712878859864,0.3974999999627471,159.01259999372996,271.12042842215254
1755362394,220,,Aggregated,252.400000,2.500000,10,12,13,14,17,19,22,26,160,160,160,4188,46,10,11.198849880790121,0.3974999999627471,159.01259999372996,268.9422158548233
1755362395,230,,Aggregated,267.800000,2.400000,10,12,13,14,17,20,23,27,160,160,160,4550,49,10,11.285681692463765,0.3974999999627471,159.01259999372996,266.74945054945056
1755362396,240,,Aggregated,274.900000,2.100000,10,12,13,14,17,22,37,68,720,740,740,4940,53,10,13.790397753143449,0.3974999999627471,740.4034999781288,267.4629554655871
1755362397,250,,Aggregated,282.600000,2.000000,10,12,14,15,20,34,150,290,740,860,860,5184,65,10,19.953324286324246,0.3974999999627471,860.3016000124626,270.8533950617284
1755362398,260,,Aggregated,294.100000,2.000000,10,13,14,16,25,110,350,530,920,1400,1400,5413,73,10,29.750488693933864,0.3974999999627471,1375.197899993509,274.55292813596895
1755362399,270,,Aggregated,296.600000,2.600000,11,13,15,17,60,240,530,720,1300,1500,1500,5702,115,11,43.82195961069352,0.3974999999627471,1538.0163000081666,278.9344089793055
1755362400,280,,Aggregated,295.500000,3.100000,11,14,16,19,130,410,720,910,1900,2700,2700,5906,140,11,62.728831764334686,0.3974999999627471,2691.515399987111,279.4607179139858
1755362401,290,,Aggregated,291.800000,4.200000,11,14,17,23,240,610,980,1200,2500,2900,2900,6137,177,11,88.59827370050007,0.3974999999627471,2928.249099990353,280.7097930584976
1755362402,300,,Aggregated,284.900000,7.700000,11,15,19,33,350,740,1100,1400,2500,2900,2900,6332,201,11,109.01387632665062,0.3974999999627471,2928.249099990353,283.08701831964623
1755362403,300,,Aggregated,273.900000,10.800000,12,15,22,68,490,960,1500,1700,3100,5200,5200,6561,252,12,141.56015209580914,0.3974999999627471,5155.636999988928,283.41594269166285
1755362404,300,,Aggregated,266.200000,14.000000,12,16,31,120,620,1100,1600,1900,3300,5500,5500,6775,301,12,168.43957483403753,0.3974999999627471,5537.505599990254,282.5741697416974
1755362405,300,,Aggregated,255.000000,16.400000,12,17,51,150,730,1200,1700,2100,3300,5500,5500,6943,326,12,190.0873377071032,0.3974999999627471,5537.505599990254,280.76551922799945
1755362406,300,,Aggregated,246.800000,21.200000,12,18,78,200,830,1300,1800,2300,3200,5500,5500,7112,356,12,213.36839353206955,0.3974999999627471,5537.505599990254,279.4031214848144
1755362407,300,,Aggregated,236.000000,25.200000,13,19,110,270,920,1400,1900,2400,3400,5500,5500,7286,395,13,235.94250984080978,0.3974999999627471,5537.505599990254,278.3498490255284
1755362408,300,,Aggregated,219.500000,28.000000,13,21,140,340,1000,1500,2100,2500,3600,5500,5500,7435,432,13,254.59668256893406,0.3974999999627471,5537.505599990254,278.60134498991255
1755362409,300,,Aggregated,209.800000,29.800000,13,24,170,410,1100,1600,2200,2500,3800,5500,5500,7601,464,13,275.70281876069225,0.3974999999627471,5537.505599990254,278.22102354953296
1755362410,300,,Aggregated,207.100000,33.300000,13,30,210,470,1200,1600,2300,2600,4300,5500,5500,7759,498,13,296.41572577651056,0.3974999999627471,5537.505599990254,278.6705761051682
1755362411,300,,Aggregated,198.900000,35.200000,14,45,260,530,1200,1700,2300,2700,4300,5500,5500,7929,536,14,313.39636620004677,0.3974999999627471,5537.505599990254,279.7689494261571
1755362412,300,,Aggregated,188.000000,34.900000,14,61,310,600,1300,1700,2400,2700,4300,5500,5500,8077,564,14,329.71849229912635,0.3974999999627471,5537.505599990254,279.66212702736163
1755362413,300,,Aggregated,183.700000,35.600000,14,83,370,680,1300,1800,2400,2800,4300,5600,5600,8227,593,14,347.2935357238604,0.3974999999627471,5565.999399987049,279.2665613224748
1755362414,300,,Aggregated,176.500000,35.800000,14,110,420,730,1400,1800,2400,2800,4300,5600,5600,8387,625,14,363.5587206867698,0.3974999999627471,5565.999399987049,278.8069631572672
1755362415,300,,Aggregated,171.900000,35.700000,15,120,460,770,1400,1800,2500,2800,4300,5600,5600,8525,656,15,376.5986049970604,0.3876000118907541,5565.999399987049,278.86545454545455
