run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.06;0;13423520;49064;1573684;0;0;2176;13108
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13436088;49160;1575212;0;0;2139;13144
3;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.07;0;13448536;49360;1577752;0;0;2136;13144
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13432040;49484;1578940;0;0;2162;13117
5;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13382180;49580;1580544;0;0;2209;13068
6;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13379912;49676;1581968;0;0;2210;13066
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13378892;49772;1583532;0;0;2210;13065
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13347852;49924;1585248;0;0;2238;13034
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13353500;50048;1586768;0;0;2231;13040
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13337820;50144;1588288;0;0;2245;13025
