run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.0;8;3,75;14,50;15,12;13,88;17,25;enp0s31f6;388;377
2;112;94.1;8;6,25;14,25;15,00;14,12;17,12;enp0s31f6;437;416
3;112;94.3;8;5,00;14,88;14,62;14,12;16,12;enp0s31f6;345;324
4;112;94.3;8;6,25;17,88;15,12;14,00;18,88;enp0s31f6;342;324
5;113;94.6;8;5,00;16,38;14,88;14,12;17,50;enp0s31f6;298;268
6;112;94.0;8;5,00;14,50;14,88;14,00;17,50;enp0s31f6;481;454
7;112;93.9;8;7,50;14,50;14,88;14,25;18,75;enp0s31f6;395;374
8;112;93.8;8;7,50;14,50;14,62;14,00;16,38;enp0s31f6;274;255
9;112;93.9;8;8,75;14,50;15,12;14,00;18,12;enp0s31f6;304;286
10;90.2;75.7;8;6,25;14,50;14,75;14,00;16,75;enp0s31f6;0;0
