Method,Name,Error,Occurrences
GET,/Categorias,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",4
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),96
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),202
GET,/Productos,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",7
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),139
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),169
GET,/Categorias,"ConnectionAbortedError(10053, 'Se ha anulado una conexión establecida por el software en su equipo host', None, 10053, None)",36
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),170
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),147
GET,/Categorias,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",63
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),153
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),143
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),93
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),132
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),140
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),107
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),1016
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),151
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),90
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),149
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),193
GET,/Productos,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",1
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),133
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),2993
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),173
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),185
GET,/Mesas,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",14
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),156
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),152
