run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;14040680;42696;1607828;0;0;1558;13708
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14040700;42792;1612344;0;0;1547;13714
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13959728;42952;1619416;0;0;1623;13632
4;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.05;0;13811004;43112;1645328;0;0;1748;13482
5;0,000016;1;1024KiB;128MiB;128;0.0070;0.04;0.05;0.55;0;13728356;43360;1653548;0;0;1823;13398
6;0,000016;1;1024KiB;128MiB;128;0.0066;0.04;0.05;0.77;0;13657284;43456;1658744;0;0;1881;13335
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13621516;43600;1663540;0;0;1911;13301
8;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.70;0;13984424;43752;1670648;0;0;1553;13652
9;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.05;0;13971092;43896;1675960;0;0;1549;13651
10;0,000016;1;1024KiB;128MiB;128;0.0091;0.04;0.07;2.74;0;13950700;44000;1680796;0;0;1568;13627
