run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;30067896211;19359226083;2668298605;382520764;7.80;5093.60;30597.20;41.00;14.40;43.20;0.00;.95;35.03;4.14;4.79;5.02;7.80;4.40
2;21267298671;17850203863;1751535038;267108707;13.80;4627.80;31254.40;38.60;10.60;50.40;0.00;.49;33.57;6.87;5.56;5.27;13.80;2.20
3;34408158528;31488881909;2633643393;404203334;7.60;4485.20;31231.60;38.60;10.60;49.80;0.00;.70;47.84;5.78;5.41;5.23;7.60;2.60
4;34428541726;35427760542;2506348207;387563345;13.00;6226.60;38241.20;53.60;13.20;32.80;0.00;.49;37.31;4.05;4.91;5.07;13.00;4.20
5;38102704854;41838243086;2624241950;415167355;12.40;5086.60;37458.00;45.00;11.60;42.60;0.00;.63;45.85;5.66;5.35;5.22;12.40;3.20
6;38474593955;46652081435;2531518943;411566737;8.40;5223.80;40597.40;48.40;10.80;40.00;0.00;.60;41.65;5.57;5.61;5.33;8.40;3.00
7;39836099177;52218837037;2538247235;426760169;5.60;4357.20;36078.20;41.00;10.00;48.40;0.00;.56;41.71;4.56;5.36;5.27;5.60;5.20
8;43316243885;59599109642;2632756330;447300946;7.40;5099.60;42716.60;48.00;10.60;41.00;0.00;.62;39.90;7.05;5.94;5.48;7.40;3.60
9;45750792934;64568840787;2695160588;459897367;5.60;5091.60;45002.60;45.20;9.60;44.60;0.00;.70;37.31;6.97;6.12;5.58;5.60;18.20
10;47825095117;67799644453;2676909533;484972767;11.60;5242.20;35346.80;54.20;9.60;36.00;0.00;.70;37.64;11.51;7.87;6.23;11.60;5.80
