run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15153896;45676;605096;0;0
2;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,07;0;15135752;45764;605844;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15167020;45844;606476;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,1;0;15235372;45988;607296;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,09;0;15225000;46068;607776;0;0
6;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;15227296;46156;608360;0;0
7;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;15228636;46244;609548;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;15213936;46324;610212;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15240804;46492;611048;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15252024;46580;611816;0;0
11;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15235700;46676;612404;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15228160;46760;613096;0;0
13;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,04;0;15244884;46856;613556;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15243024;46944;614392;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,07;0;15236388;47088;615432;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15254708;47176;616032;0;0
17;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15227636;47264;616540;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15227140;47352;617164;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15239588;47432;617628;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;15229740;47584;618436;0;0
