run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;74.0;62.1;8;5,00;15,88;15,62;14,25;19,12;enp0s31f6;445;522
2;76.5;64.1;8;6,25;15,88;15,62;14,62;19,12;enp0s31f6;546;624
3;112;93.7;8;3,75;15,25;15,38;14,50;17,62;enp0s31f6;415;479
4;112;94.2;8;5,00;14,62;15,12;14,50;16,75;enp0s31f6;542;618
5;92.2;77.3;8;5,00;15,25;15,25;14,50;16,88;enp0s31f6;591;695
6;110;92.2;8;3,75;16,88;16,12;14,62;17,50;enp0s31f6;464;564
7;111;93.0;8;5,00;14,88;15,38;14,50;17,38;enp0s31f6;522;593
8;53.7;45.1;8;3,75;15,75;15,75;14,38;17,88;enp0s31f6;696;738
9;37.5;31.4;8;3,75;15,12;15,75;14,50;18,88;enp0s31f6;520;619
10;46.7;39.2;8;6,25;14,88;15,25;14,50;16,75;enp0s31f6;622;713
