run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13778504;25560;1308048;0;0;2097;13454
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13671128;25656;1309732;0;0;2216;13334
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13693780;25784;1311524;0;0;2176;13372
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13700896;25884;1313296;0;0;2184;13363
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13587264;25980;1315096;0;0;2292;13253
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13578952;26148;1317424;0;0;2272;13271
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;13582312;26280;1318708;0;0;2279;13263
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13458068;26392;1320536;0;0;2411;13129
9;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.35;0;13437364;26536;1322808;0;0;2416;13122
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13402144;26672;1324672;0;0;2449;13088
