Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755019774,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755019775,10,,Aggregated,0.000000,0.000000,10,11,17,26,140,160,170,170,170,170,170,68,6,10,31.803452923400876,5.901499651372433,168.31979993730783,245.30882352941177
1755019776,20,,Aggregated,0.000000,0.000000,10,11,12,13,24,140,160,170,170,170,170,143,6,10,20.686923770455422,5.901499651372433,168.31979993730783,238.36363636363637
1755019777,30,,Aggregated,0.000000,0.000000,9,10,11,12,20,28,160,160,170,170,170,226,6,9,16.334245570696297,4.242799710482359,168.31979993730783,240.94247787610618
1755019778,40,,Aggregated,68.000000,6.000000,9,10,11,11,19,24,140,160,170,170,170,297,6,9,14.903016153233821,4.242799710482359,168.31979993730783,238.77441077441077
1755019779,50,,Aggregated,71.500000,3.000000,9,10,11,11,18,22,140,160,170,170,170,372,6,9,13.855980905724229,4.242799710482359,168.31979993730783,237.71505376344086
1755019780,70,,Aggregated,75.333333,2.000000,9,10,11,12,17,20,37,140,170,170,170,530,6,9,12.56534188353228,3.939500078558922,168.31979993730783,240.3056603773585
1755019781,80,,Aggregated,74.250000,1.500000,9,11,12,13,17,20,28,140,170,170,170,676,8,9,12.383931355699676,0.779199879616499,168.31979993730783,240.46449704142012
1755019782,90,,Aggregated,74.400000,1.200000,10,11,13,14,19,22,28,140,170,170,170,815,10,10,12.797438885810916,0.4274998791515827,168.31979993730783,241.04539877300613
1755019783,100,,Aggregated,88.333333,1.000000,10,12,14,16,19,22,28,140,170,170,170,956,12,10,13.027813278282817,0.4274998791515827,168.31979993730783,240.73221757322176
1755019784,100,,Aggregated,96.571429,1.142857,10,12,14,16,19,22,28,41,170,170,170,1124,13,10,12.575922946501986,0.4274998791515827,168.31979993730783,246.44483985765123
