run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;111;92.9;8;6,25;14,38;14,62;13,62;16,75;enp0s31f6;606;699
2;102;85.9;8;10,00;14,50;14,62;13,38;16,25;enp0s31f6;488;564
3;110;92.1;8;11,25;15,38;14,75;13,25;16,62;enp0s31f6;488;569
4;110;92.7;8;8,75;14,12;14,62;13,38;16,25;enp0s31f6;486;553
5;110;92.6;8;7,50;14,25;14,75;13,50;16,75;enp0s31f6;503;609
6;108;90.6;8;7,50;15,12;14,62;13,50;16,50;enp0s31f6;849;946
7;106;89.1;8;8,75;15,00;14,38;13,38;15,88;enp0s31f6;603;673
8;102;85.7;8;10,00;14,12;15,12;13,50;19,88;enp0s31f6;531;622
9;109;91.3;8;10,00;16,75;15,25;13,38;19,88;enp0s31f6;742;836
10;113;94.8;8;11,25;14,25;14,62;13,12;16,88;enp0s31f6;601;707
