run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;30722506160;21346779483;2571365306;410273314;4.80;4602.00;32685.40;37.00;12.40;49.60;0.00;.80;50.30;3.72;4.64;4.23;4.80;1.20
2;29026567032;24781950779;2417403095;391670783;6.20;5706.40;34606.80;44.40;14.20;41.20;0.00;.69;39.98;4.57;4.46;4.19;6.20;1.80
3;34099473791;27684561221;2781660014;424486234;11.60;5711.60;35316.40;44.20;13.80;41.40;0.00;.63;47.21;2.94;4.06;4.07;11.60;3.00
4;31275285869;27455426851;2435818380;371765198;7.00;5152.60;35557.60;42.00;13.20;44.40;0.00;.66;42.92;5.44;4.54;4.24;7.00;3.00
5;33644795278;32868356276;2518310852;383962343;4.80;3864.40;28871.60;33.60;9.80;56.40;0.00;.46;45.73;4.19;4.55;4.28;4.80;3.00
6;40243595093;46525528206;2676515435;430079630;8.80;4059.80;31220.40;38.00;10.80;51.40;0.00;.66;44.91;6.18;4.87;4.40;8.80;5.40
7;38831796818;46357632281;2579562067;422590346;5.80;4902.00;40159.00;42.40;10.40;46.40;0.00;.73;43.13;6.01;5.15;4.54;5.80;2.00
8;43146574685;58236112900;2664717684;475185199;9.80;5102.20;35537.20;47.60;11.40;40.60;0.00;.59;38.87;8.94;6.23;4.98;9.80;3.00
9;42719455193;54133629689;2669491567;451383845;5.40;4812.20;35184.80;43.00;10.60;45.80;0.00;.60;44.71;10.38;6.95;5.29;5.40;2.40
10;44997581072;65196617168;2566413890;459957692;6.00;4962.00;42791.80;39.20;8.20;52.20;0.00;.46;48.87;7.75;6.98;5.42;6.00;4.00
