run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;12613164;66220;2680472;0;0;1891;12325
2;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.05;0;12568108;66408;2688612;0;0;1935;12273
3;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.04;0.05;0;12510784;66564;2696716;0;0;1985;12215
4;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.06;0;12711892;66764;2704400;0;0;1775;12417
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12652596;66868;2711560;0;0;1854;12331
6;0,000016;1;1024KiB;128MiB;128;0.0066;0.04;0.05;0.71;0;12603416;67052;2720588;0;0;1871;12306
7;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;12639784;67160;2727860;0;0;1827;12343
8;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;12830576;67264;2734188;0;0;1634;12529
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12822668;67428;2739724;0;0;1637;12521
10;0,000016;1;1024KiB;128MiB;128;0.0083;0.04;0.05;0.59;0;12797008;67648;2748556;0;0;1653;12496
