run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;28309697348;18719566603;2471648263;349508080;6.00;5204.20;33362.20;42.00;14.40;42.80;0.00;.39;39.54;5.80;7.75;8.23;6.00;5.20
2;31093295576;24188903456;2547619490;377113326;7.80;4675.80;30458.40;39.80;12.40;47.40;0.00;.53;39.68;4.57;7.16;8.00;7.80;3.00
3;26575842278;25823498994;2017933281;306295721;20.60;7395.80;42005.20;55.60;14.60;29.20;0.00;.66;41.72;8.77;7.56;8.04;20.60;5.60
4;34285072531;32490038319;2630859537;403664084;18.00;5000.40;33266.20;42.40;10.60;46.60;0.00;.76;32.93;11.08;8.36;8.28;18.00;3.00
5;45261376345;51199024028;3136032749;500559120;4.60;7022.40;41146.40;48.60;13.20;37.80;0.00;.43;40.82;12.21;9.30;8.61;4.60;6.20
6;69438650430;87180853937;4480404587;759731179;14.20;6490.00;39375.20;51.20;13.00;35.20;0.00;.49;31.12;7.48;8.45;8.37;14.20;6.40
7;51309420779;61726129192;3447550610;562118398;10.40;5012.00;30992.40;48.60;10.80;40.20;0.00;.66;29.93;12.04;9.92;8.91;10.40;5.00
8;46644607825;64740506099;2807751208;469807984;6.60;4875.60;39342.60;46.20;10.60;42.20;0.00;.63;34.26;6.74;8.71;8.55;6.60;2.80
9;43949961231;62328229959;2656741436;459453126;11.80;5026.20;39136.80;50.80;11.20;37.00;0.00;.49;36.91;6.63;8.28;8.42;11.80;4.40
10;46636736135;67313164239;2711475494;473698515;11.40;5680.20;48639.60;52.00;11.00;36.40;0.00;.70;38.01;7.85;8.36;8.44;11.40;3.20
