run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;174;146;8;8,75;15,25;15,25;13,75;18,12;enp6s18;10155;11213
2;203;170;8;3,75;15,12;15,12;13,25;17,88;enp6s18;8305;9417
3;236;198;8;3,75;14,62;15,12;13,62;17,62;enp6s18;10508;12182
4;239;200;8;6,25;14,12;14,88;13,25;18,25;enp6s18;10871;12237
5;240;202;8;5,00;13,38;14,62;13,00;17,62;enp6s18;105;127
6;219;184;8;7,50;15,25;15,62;14,38;19,88;enp6s18;14425;16651
7;206;173;8;11,25;15,38;15,75;13,50;21,12;enp6s18;13884;15963
8;231;194;8;7,50;15,62;15,38;13,12;19,62;enp6s18;12340;14598
9;270;226;8;6,25;14,12;15,00;13,00;18,88;enp6s18;12038;13815
10;255;214;8;6,25;14,75;14,50;12,88;17,00;enp6s18;11359;13258
