run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0062;0.04;0.05;0.09;0;15549836;16712;440744;0;0;683;15183
2;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.09;0;15552008;16760;440832;0;0;667;15198
3;0,000000;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.08;0;15559672;16792;440872;0;0;675;15191
4;0,000000;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.11;0;15553112;16848;440876;0;0;681;15185
5;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15559248;16880;440872;0;0;676;15189
6;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.06;0;15557740;16912;440932;0;0;673;15192
7;0,000000;1;1024KiB;128MiB;128;0.0054;0.04;0.04;0.07;0;15471364;16944;440892;0;0;757;15109
8;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.04;0;15478348;16976;440920;0;0;742;15124
9;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15483740;17016;440888;0;0;737;15129
10;0,000000;1;1024KiB;128MiB;128;0.0072;0.04;0.05;0.11;0;15491404;17056;440912;0;0;741;15125
