run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;23092910105;8204064957;1665762897;89967574;1.00;14203.40;31500.20;12.00;5.00;83.00;0.00;0;82.83;1.07;1.03;0.79;1.00;1.00
2;24316345008;8693836861;1780947073;94465384;3.20;16324.80;27947.60;13.20;5.20;81.40;0.00;0;82.35;0.90;0.99;0.79;3.20;1.20
3;26089390286;9080809530;1846301090;100034412;2.60;15617.60;26993.80;12.80;4.80;82.60;0.00;0;81.90;1.61;1.17;0.86;2.60;1.00
4;25852034904;9115607985;1851178493;100222145;2.40;15868.40;27352.20;12.00;5.20;83.00;0.00;0;80.29;1.16;1.13;0.87;2.40;1.00
5;25308894009;9076234249;1856140606;99470613;1.40;16542.00;28429.00;13.80;5.40;80.80;0.00;0;82.31;1.06;1.12;0.88;1.40;1.00
6;25204827143;8904727255;1836517672;98156093;1.20;17743.60;31341.00;14.20;5.80;80.40;0.00;0;80.06;0.95;1.09;0.89;1.20;1.00
7;26090669293;8932169564;1822186317;98732021;2.40;17026.00;27585.00;13.00;5.60;81.80;0.00;0;81.91;1.36;1.22;0.94;2.40;1.00
8;23100215924;8330541340;1705969531;94629464;1.60;14113.60;30171.20;11.80;5.40;83.00;0.00;0;82.28;1.23;1.24;0.97;1.60;1.40
9;24275179645;8657188724;1747756065;99492250;1.40;19258.60;34241.40;14.40;6.20;79.40;0.00;0;82.35;1.32;1.30;1.00;1.40;1.00
10;25221143674;8915623572;1816350257;104469052;1.60;15684.20;25287.80;11.20;5.00;83.80;0.00;0;81.80;0.96;1.24;1.00;1.60;1.20
