run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;33966275663;12419240440;2523702587;135647293;1.40;21791.80;43347.80;16.20;7.00;76.60;0.00;0;73.96;1.37;1.49;1.36;1.40;1.80
2;36310021224;12830744394;2590669530;137465155;2.40;24006.20;43723.60;16.40;7.00;75.80;0.00;0;73.43;1.60;1.54;1.38;2.40;1.00
3;37540447049;13529516502;2733250292;149877470;3.00;23724.60;41496.60;17.60;7.60;74.60;0.00;0;73.23;1.77;1.57;1.40;3.00;1.00
4;36622443090;13166463494;2630190154;148366711;1.40;24050.20;39610.40;15.60;7.00;77.20;0.00;0;72.68;1.54;1.55;1.40;1.40;1.20
5;37042682561;13373652195;2673130331;150477249;3.40;25103.80;42687.20;18.60;7.80;73.60;0.00;.03;70.20;1.56;1.56;1.41;3.40;1.60
6;36450432040;13186714739;2612895551;154651319;2.80;22773.60;40020.80;15.60;7.40;76.80;0.00;0;73.22;1.49;1.52;1.40;2.80;1.20
7;33816527561;13001250786;2357990499;150277063;4.60;22259.00;36802.20;14.80;7.40;78.00;0.00;0;73.15;1.56;1.51;1.40;4.60;1.00
8;38067020253;13540738883;2691026070;166576908;2.00;26151.00;46182.00;17.80;8.80;73.80;0.00;0;71.22;0.85;1.33;1.35;2.00;1.20
9;37814027114;13636677759;2710318450;163152594;1.40;24359.80;39799.00;17.00;7.60;75.60;0.00;0;71.96;1.33;1.35;1.35;1.40;1.00
10;37852620845;13438897978;2673106784;166201697;2.40;25003.20;40260.20;18.60;7.80;74.00;0.00;0;70.28;1.49;1.39;1.37;2.40;1.00
