run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;105;87.8;8;7,50;14,75;14,75;13,62;17,38;enp6s18;1783;2050
2;106;89.3;8;6,25;14,88;14,75;13,25;17,50;enp6s18;2556;2955
3;106;89.0;8;2,50;14,00;14,25;12,75;16,25;enp6s18;3453;3986
4;106;88.8;8;5,00;14,88;15,38;14,00;17,62;enp6s18;1196;1470
5;106;89.2;8;6,25;13,75;14,50;13,00;17,62;enp6s18;2858;3319
6;106;89.2;8;3,75;14,50;14,62;13,38;16,38;enp6s18;2548;2918
7;106;88.8;8;2,50;14,88;16,00;13,25;20,88;enp6s18;3026;3514
8;106;88.8;8;0,00;15,50;15,62;13,50;18,00;enp6s18;3641;4120
9;106;89.3;8;3,75;14,62;14,50;13,12;15,88;enp6s18;0;0
10;106;89.3;8;7,50;16,75;14,88;13,12;17,50;enp6s18;2307;2636
