run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.04;0;15500968;24716;443928;0;0;721;15134
2;0,000000;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.06;0;15510748;24764;443964;0;0;711;15145
3;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.06;0;15497076;24804;444016;0;0;711;15145
4;0,000000;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.09;0;15510776;24844;444020;0;0;711;15144
5;0,000000;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.07;0;15520140;24892;444004;0;0;702;15154
6;0,000000;1;1024KiB;128MiB;128;0.0051;0.04;0.04;0.06;0;15496912;24956;443992;0;0;725;15131
7;0,000000;1;1024KiB;128MiB;128;0.0052;0.04;0.04;0.08;0;15509660;25004;444156;0;0;712;15144
8;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.10;0;15509688;25052;444404;0;0;711;15144
9;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15508532;25116;444580;0;0;713;15142
10;0,000000;1;1024KiB;128MiB;128;0.0054;0.04;0.04;0.07;0;15495124;25164;444544;0;0;726;15129
