run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;8982;8982;35,1;35,1;0,09748;0,00859285
2;9195;9195;35,9;35,9;0,09624;0,00801915
3;9065;9065;35,4;35,4;0,09719;0,00839383
4;9084;9084;35,5;35,5;0,09706;0,00808349
5;9097;9097;35,5;35,5;0,09691;0,00810031
6;9502;9502;37,1;37,1;0,09429;0,00644418
7;9329;9329;36,4;36,4;0,09479;0,00755637
8;9552;9552;37,3;37,3;0,09307;0,00715773
9;9763;9763;38,1;38,1;0,09263;0,00581442
10;9674;9674;37,8;37,8;0,09353;0,00583302
11;10,1;10,1;39,3;39,3;0,08978;0,00581458
12;10,1;10,1;39,3;39,3;0,09005;0,0057059
13;10,4;10,4;40,6;40,6;0,08811;0,0047936
14;9559;9559;37,3;37,3;0,09317;0,00709374
15;10;10;39,2;39,2;0,08972;0,00576707
16;9778;9778;38,2;38,2;0,09164;0,00636934
17;10;10;39,1;39,1;0,09043;0,00565223
18;9704;9704;37,9;37,9;0,09442;0,00511331
19;10,3;10,3;40,2;40,2;0,08834;0,00555988
20;9609;9609;37,5;37,5;0,093;0,00691053
