run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;7791207536;9041389427;269186683;45786727;1,40;595,00;3431,60;1,80;4,60;93,20;0,00
2;8259692435;9947443852;269164206;47637421;1,00;539,40;3404,60;1,60;4,00;94,20;0,00
3;8343200660;9788195650;280903656;48786855;2,00;515,80;3149,40;2,00;3,60;94,60;0,00
4;8538533107;9802068145;299757536;50626297;1,20;501,20;2213,80;1,40;3,20;95,20;0,00
5;8491089542;9844510972;294769778;50133049;1,80;609,00;2886,20;1,40;4,40;94,20;0,00
6;7905783648;9725385631;240682460;44381280;1,80;1749,40;2888,40;1,60;4,20;94,20;0,00
7;8779806889;10554723796;287146083;51272058;2,00;620,40;3609,60;2,00;4,00;94,00;0,00
8;8281573160;9907249995;277146018;49283114;1,40;542,40;2518,00;1,60;3,80;94,40;0,00
9;8839130570;10545083751;288648478;51543948;1,20;620,40;3889,20;2,20;4,00;93,80;0,00
10;8529870164;10348640045;274058233;50081814;1,20;603,80;3736,20;1,60;4,20;93,80;0,00
11;8216041074;9840742218;270586226;49039143;1,00;607,80;3654,40;1,60;4,60;93,00;0,00
12;8710153588;10611869209;284621014;51579657;1,40;635,00;3527,80;2,00;4,80;92,80;0,00
13;8693490827;10542950006;282800014;51447047;1,00;707,20;3874,40;2,40;5,00;92,20;0,00
14;8256170751;10118600129;270658344;47962010;1,00;730,60;3850,60;2,40;5,40;91,80;0,00
15;7933429767;9665623460;262219404;47418934;2,00;707,40;3827,60;2,80;5,40;91,40;0,00
16;8345555717;10176516499;273719789;48651442;1,00;670,40;3941,20;2,60;4,80;92,60;0,00
17;8406127341;10162034527;279441336;49048387;1,20;688,80;3961,60;2,40;5,40;92,20;0,00
18;8488187298;10263053206;280000465;49404765;1,40;640,80;3709,00;2,20;4,80;92,80;0,00
19;8785941671;10792033935;285708539;51962109;2,40;677,80;3851,60;2,60;5,00;92,20;0,00
20;8700874668;10540961506;289522101;52035581;3,00;726,80;4463,60;3,00;5,60;91,20;0,00
