run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15285660;23652;559440;0;0
2;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;15283792;23740;560208;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;15278996;23828;560888;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15281340;23916;561600;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15269436;24008;562340;0;0
6;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,07;0;15281956;24160;563192;0;0
7;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15250380;24288;563912;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15265564;24376;564608;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15257072;24456;565152;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15255252;24552;565968;0;0
11;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,09;0;15270696;24632;566672;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15286124;24816;567408;0;0
13;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15268464;24904;568212;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15256096;24984;568860;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,07;0;15248292;25064;569972;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15258548;25152;571000;0;0
17;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15265320;25280;572240;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,09;0;15253700;25408;573284;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,07;0;15259088;25504;574492;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;15267984;25584;575328;0;0
