run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;113;94,5;8;3,75;18,25;15,38;14;19,25;enp0s31f6;192;183
2;113;94,4;8;5;15,88;15,62;14,25;17,5;enp0s31f6;194;183
3;112;94,1;8;5;15;15;14,38;17,5;enp0s31f6;207;197
4;114;95,7;8;2,5;14,75;14,88;14,38;16,62;enp0s31f6;206;194
5;112;93,8;8;3,75;15;15;14,5;15,75;enp0s31f6;190;175
6;112;94,3;8;6,25;15,62;14,88;14,12;16;enp0s31f6;196;187
7;112;94;8;8,75;14,88;14,88;14,12;16;enp0s31f6;209;197
8;113;94,4;8;6,25;14,88;15,25;14,25;17,62;enp0s31f6;179;165
9;113;94,4;8;6,25;14,88;14,88;14,12;15,5;enp0s31f6;191;178
10;112;94,4;8;5;15,25;15,38;14,38;16,88;enp0s31f6;177;164
11;113;94,4;8;5;16,25;15,88;14,25;18,12;enp0s31f6;197;188
12;113;94,7;8;5;15,88;15,62;14,38;18,38;enp0s31f6;246;240
13;96,9;81,3;8;3,75;14,88;15,25;14,5;19;enp0s31f6;174;160
14;113;94,6;8;7,5;14,75;15,38;14,5;17,62;enp0s31f6;136;124
15;112;93,9;8;7,5;14,25;14,75;13,62;15,38;enp0s31f6;191;183
16;113;94,7;8;8,75;15,88;15,75;14,25;17,88;enp0s31f6;337;317
17;111;93,4;8;6,25;14,88;15,25;14,5;16,88;enp0s31f6;153;143
18;113;94,5;8;11,25;14,5;15,38;14,38;17,12;enp0s31f6;202;191
19;112;94,3;8;10;14,75;15,12;13,88;16,62;enp0s31f6;197;183
20;113;94,7;8;10;15,5;15,38;14,38;18,75;enp0s31f6;193;183
